CustomerID,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
18,Christine,Bowman,06-03-1978,FEMALE,INDIVIDUAL,245,Single
110,Thomas,Burke,04-09-1971,MALE,INDIVIDUAL,388,Married
422,Cynthia,Powell,21-08-1970,FEMALE,INDIVIDUAL,263,Single
457,Gary,Baker,01-01-1963,MALE,INDIVIDUAL,74,Divorced
690,Ruth,Baker,13-02-1952,FEMALE,INDIVIDUAL,146,Married
1002,Barbara,Payne,17-05-1966,FEMALE,INDIVIDUAL,871,Married
1240,Scott,Roberts,31-01-1978,MALE,INDIVIDUAL,863,Married
1326,Patricia,Johnson,08-02-1965,FEMALE,INDIVIDUAL,987,Single
1475,Gerald,Rogers,25-06-2012,MALE,INDIVIDUAL,627,Married
1517,Anthony,Knight,19-03-1969,MALE,INDIVIDUAL,840,Married
1554,Roger,Medina,05-10-1952,MALE,INDIVIDUAL,883,Single
1582,Scott,Miller,12-07-1967,MALE,INDIVIDUAL,142,Married
1971,Jeffrey,Cox,30-06-1966,MALE,INDIVIDUAL,906,Divorced
2165,Jean,Payne,17-10-1984,FEMALE,INDIVIDUAL,412,Single
2286,Bruce,Ortiz,20-10-1965,MALE,INDIVIDUAL,944,Single
2348,Mildred,Reed,06-08-2001,FEMALE,INDIVIDUAL,769,Single
2395,Charles,Riley,25-10-1969,MALE,INDIVIDUAL,983,Married
2932,Jesse,Lane,17-07-1991,MALE,INDIVIDUAL,837,Married
3237,Amanda,Thomas,08-01-1951,FEMALE,INDIVIDUAL,16,Single
3371,Mary,Hernandez,24-11-1962,FEMALE,INDIVIDUAL,767,Single
3919,Amanda,Anderson,02-01-1956,FEMALE,INDIVIDUAL,734,Married
4109,Jack,Simmons,10-12-1960,MALE,INDIVIDUAL,59,Married
4437,Larry,Garza,21-07-1973,MALE,INDIVIDUAL,16,Married
4599,Kenneth,Hernandez,03-05-1967,MALE,INDIVIDUAL,504,Single
5081,Janet,Crawford,27-05-1976,FEMALE,INDIVIDUAL,69,Married
5191,Lois,Woods,09-10-1971,FEMALE,INDIVIDUAL,567,Single
5464,Russell,Harper,17-03-1963,MALE,INDIVIDUAL,385,Married
5465,Matthew,Lewis,15-02-1965,MALE,INDIVIDUAL,375,Single
